日期,本地时间,服务器时间,交易所时间,万得代码,原始代码,业务发生日(自然日), 委托号, 委托价格, 委托数量, 委托类别, 委托代码, 经纪商编码, 委托状态, 标志
20160913,135448056,135448056,104001000,831139.PT,831139,20160913,99997342,29000,1000,66(B),0( ),725300,49(1),32( )
20160913,135448056,135448056,93215000,831155.PT,831155,20160913,99999187,20000,50000,83(S),0( ),720700,49(1),32( )
20160913,135448056,135448056,94929000,831169.PT,831169,20160913,99998423,60000,50000,83(S),0( ),721800,49(1),32( )
20160913,135448056,135448056,130000000,831182.PT,831182,20160913,99996747,55000,5000,83(S),0( ),727200,49(1),32( )
20160913,135448056,135448056,133958000,831184.PT,831184,20160913,99996190,150000,1000,66(B),0( ),722300,49(1),32( )
20160913,135448056,135448056,130001000,831211.PT,831211,20160913,99996675,99800,5000,83(S),0( ),721700,49(1),32( )
20160913,135448056,135448056,135256000,831216.PT,831216,20160913,99996058,10300,9000,83(S),0( ),721700,49(1),32( )
20160913,135448056,135448056,133749000,831235.PT,831235,20160913,99996211,130000,1000,83(S),0( ),722700,49(1),32( )
20160913,135448056,135448056,94059000,831238.PT,831238,20160913,99998768,88800,3000,83(S),0( ),727900,49(1),32( )
20160913,135448057,135448057,135146000,831289.PT,831289,20160913,99996073,33000,8000,83(S),0( ),724300,49(1),32( )
20160913,135448057,135448057,131433000,831300.PT,831300,20160913,99996482,30000,2000,83(S),0( ),724200,49(1),32( )
20160913,135448057,135448057,91510000,831302.PT,831302,20160913,99999629,200000,3000,83(S),0( ),723200,49(1),32( )
20160913,135448057,135448057,94218000,831321.PT,831321,20160913,99998714,89000,9000,83(S),0( ),721300,49(1),32( )
20160913,135448057,135448057,131926000,831334.PT,831334,20160913,99996438,200000,20000,83(S),0( ),723500,49(1),32( )
20160913,135448057,135448057,135034000,831336.PT,831336,20160913,99996083,28000,5000,83(S),0( ),720500,49(1),32( )
20160913,135448057,135448057,92436000,831337.PT,831337,20160913,99999376,14000,1000,66(B),0( ),723200,49(1),32( )
20160913,135448057,135448057,134814000,831344.PT,831344,20160913,99996111,151000,1000,66(B),0( ),720800,49(1),32( )
20160913,135448057,135448057,100000000,831351.PT,831351,20160913,99998107,31100,15000,66(B),0( ),721800,49(1),32( )
20160913,135448057,135448057,92910000,831355.PT,831355,20160913,99999299,110000,20000,83(S),0( ),721100,49(1),32( )
20160913,135448057,135448057,101654000,831358.PT,831358,20160913,99997717,68000,2000,83(S),0( ),725000,49(1),32( )
20160913,135448057,135448057,104959000,831391.PT,831391,20160913,99997217,80000,20000,83(S),0( ),720100,49(1),32( )
20160913,135448057,135448057,132807000,831402.PT,831402,20160913,99996335,148800,2000,83(S),0( ),720200,49(1),32( )
20160913,135448057,135448057,95830000,831419.PT,831419,20160913,99998149,13000,80000,83(S),0( ),721700,49(1),32( )
20160913,135448057,135448057,94847000,831420.PT,831420,20160913,99998450,106800,2000,83(S),0( ),721800,49(1),32( )
20160913,135448057,135448057,112207000,831434.PT,831434,20160913,99996825,111100,4000,83(S),0( ),720100,49(1),32( )
20160913,135448057,135448057,93430000,831440.PT,831440,20160913,99999061,208000,13000,83(S),0( ),722900,49(1),32( )
20160913,135448057,135448057,105509000,831442.PT,831442,20160913,99997154,103000,1000,66(B),0( ),721000,49(1),32( )
20160913,135448057,135448057,101352000,831445.PT,831445,20160913,99997766,51000,10000,83(S),0( ),727800,49(1),32( )
20160913,135448057,135448057,135104000,831450.PT,831450,20160913,99996079,25600,50000,66(B),0( ),720800,49(1),32( )
20160913,135448057,135448057,95604000,831459.PT,831459,20160913,99998211,85000,50000,83(S),0( ),720300,49(1),32( )
20160913,135448057,135448057,134702000,831475.PT,831475,20160913,99996119,105000,1000,83(S),0( ),724500,49(1),32( )
20160913,135448057,135448057,95515000,831489.PT,831489,20160913,99998240,30000,80000,83(S),0( ),723200,49(1),32( )
20160913,135448057,135448057,132919000,831501.PT,831501,20160913,99996314,49900,1000,83(S),0( ),721500,49(1),32( )
20160913,135448057,135448057,104157000,831507.PT,831507,20160913,99997310,30200,40000,66(B),0( ),727600,49(1),32( )
20160913,135448057,135448057,133440000,831522.PT,831522,20160913,99996260,105000,40000,83(S),0( ),720600,49(1),32( )
20160913,135448057,135448057,110836000,831532.PT,831532,20160913,99996974,10000,20000,66(B),0( ),721700,49(1),32( )
20160913,135448057,135448057,131049000,831556.PT,831556,20160913,99996527,11000,50000,66(B),0( ),721300,49(1),32( )
20160913,135448057,135448057,111508000,831569.PT,831569,20160913,99996889,118800,5000,83(S),0( ),724100,49(1),32( )
20160913,135448057,135448057,132653000,831571.PT,831571,20160913,99996346,21800,50000,83(S),0( ),724600,49(1),32( )
20160913,135448057,135448057,134512000,831577.PT,831577,20160913,99996135,10000,1000,66(B),0( ),725000,49(1),32( )
20160913,135448057,135448057,102516000,831619.PT,831619,20160913,99997586,29900,30000,83(S),0( ),726000,49(1),32( )
20160913,135448057,135448057,134617000,831633.PT,831633,20160913,99996125,27500,119000,83(S),0( ),720800,49(1),32( )
20160913,135448057,135448057,93927000,831648.PT,831648,20160913,99998834,48000,10000,83(S),0( ),727900,49(1),32( )
20160913,135448057,135448057,130306000,831654.PT,831654,20160913,99996610,66600,1000,83(S),0( ),721300,49(1),32( )
20160913,135448057,135448057,93844000,831668.PT,831668,20160913,99998867,19800,6000,83(S),0( ),721500,49(1),32( )
20160913,135448057,135448057,133930000,831671.PT,831671,20160913,99996194,10000,1000,66(B),0( ),721700,49(1),32( )
20160913,135448057,135448057,112954000,831690.PT,831690,20160913,99996767,20000,11000,83(S),0( ),721500,49(1),32( )
20160913,135448057,135448057,101231000,831693.PT,831693,20160913,99997791,100000,25000,83(S),0( ),728130,49(1),32( )
20160913,135448057,135448057,95151000,831696.PT,831696,20160913,99998342,21100,2000,83(S),0( ),721700,49(1),32( )
20160913,135448057,135448057,130000000,831731.PT,831731,20160913,99996751,121000,3000,83(S),0( ),723800,49(1),32( )
20160913,135448057,135448057,102428000,831778.PT,831778,20160913,99997601,30000,100000,83(S),0( ),725900,49(1),32( )
20160913,135448057,135448057,132137000,831796.PT,831796,20160913,99996411,65000,10000,83(S),0( ),728010,49(1),32( )
20160913,135448057,135448057,133619000,831822.PT,831822,20160913,99996236,20000,3000,66(B),0( ),726100,49(1),32( )
20160913,135448057,135448057,94054000,831856.PT,831856,20160913,99998772,81500,2000,83(S),0( ),721700,49(1),32( )
20160913,135448057,135448057,112452000,831858.PT,831858,20160913,99996806,100000,170000,83(S),0( ),721600,49(1),32( )
20160913,135448057,135448057,95137000,831874.PT,831874,20160913,99998349,60000,4000,83(S),0( ),722900,49(1),32( )
20160913,135448057,135448057,111438000,831877.PT,831877,20160913,99996897,35000,10000,66(B),0( ),721700,49(1),32( )
20160913,135448057,135448057,94735000,831893.PT,831893,20160913,99998492,35000,200000,83(S),0( ),727300,49(1),32( )
20160913,135448057,135448057,111113000,831898.PT,831898,20160913,99996943,165000,26000,83(S),0( ),723200,49(1),32( )
20160913,135448057,135448057,100452000,831904.PT,831904,20160913,99997976,30000,2000,83(S),0( ),724800,49(1),32( )
20160913,135448057,135448057,95948000,831905.PT,831905,20160913,99998109,72000,50000,83(S),0( ),727200,49(1),32( )
20160913,135448057,135448057,130658000,831913.PT,831913,20160913,99996580,68500,1000,83(S),0( ),721100,49(1),32( )
20160913,135448057,135448057,133931000,831922.PT,831922,20160913,99996193,90000,1000,83(S),0( ),727700,49(1),32( )
20160913,135448058,135448058,112627000,831946.PT,831946,20160913,99996791,23800,5000,83(S),0( ),721800,49(1),32( )
20160913,135448058,135448058,130001000,831955.PT,831955,20160913,99996680,10000,2000,66(B),0( ),728130,49(1),32( )
20160913,135448058,135448058,130054000,831962.PT,831962,20160913,99996623,187800,10000,83(S),0( ),728130,49(1),32( )
20160913,135448058,135448058,134432000,831964.PT,831964,20160913,99996145,55000,30000,83(S),0( ),724100,49(1),32( )
20160913,135448058,135448058,135026000,831981.PT,831981,20160913,99996086,32000,1000,83(S),0( ),723200,49(1),32( )
20160913,135448058,135448058,93755000,831985.PT,831985,20160913,99998910,110000,100000,83(S),0( ),726100,49(1),32( )
20160913,135448058,135448058,91500000,831990.PT,831990,20160913,99999957,85000,10000,83(S),0( ),722200,49(1),32( )
20160913,135448058,135448058,132045000,832010.PT,832010,20160913,99996421,66000,30000,83(S),0( ),721700,49(1),32( )
20160913,135448058,135448058,111044000,832012.PT,832012,20160913,99996950,10000,20000,66(B),0( ),721700,49(1),32( )
20160913,135448058,135448058,133458000,832015.PT,832015,20160913,99996257,200000,4000,83(S),0( ),722100,49(1),32( )
20160913,135448058,135448058,100256000,832017.PT,832017,20160913,99998022,25000,1000,83(S),0( ),727600,49(1),32( )
